  
  
  Y = 0.100E+0002     
  Z = -.500E+0000     
  Time average of V_g      from Time = 0.1100E+0002 to 0.6000E+0002 
  Time = 0.6000E+0002     
       X             V_g     
  -.125E+0000  0.456E+0003
  0.125E+0000  -.138E+0003
  0.375E+0000  -.593E+0001
  0.625E+0000  0.103E+0003
  0.875E+0000  0.202E+0003
  0.112E+0001  0.290E+0003
  0.138E+0001  0.371E+0003
  0.162E+0001  0.439E+0003
  0.188E+0001  0.494E+0003
  0.212E+0001  0.541E+0003
  0.238E+0001  0.581E+0003
  0.262E+0001  0.616E+0003
  0.288E+0001  0.646E+0003
  0.312E+0001  0.673E+0003
  0.338E+0001  0.696E+0003
  0.362E+0001  0.716E+0003
  0.388E+0001  0.732E+0003
  0.412E+0001  0.745E+0003
  0.438E+0001  0.755E+0003
  0.462E+0001  0.761E+0003
  0.488E+0001  0.764E+0003
  0.512E+0001  0.765E+0003
  0.538E+0001  0.762E+0003
  0.562E+0001  0.756E+0003
  0.588E+0001  0.747E+0003
  0.612E+0001  0.735E+0003
  0.638E+0001  0.719E+0003
  0.662E+0001  0.700E+0003
  0.688E+0001  0.677E+0003
  0.712E+0001  0.650E+0003
  0.738E+0001  0.620E+0003
  0.762E+0001  0.585E+0003
  0.788E+0001  0.546E+0003
  0.812E+0001  0.499E+0003
  0.838E+0001  0.443E+0003
  0.862E+0001  0.375E+0003
  0.888E+0001  0.293E+0003
  0.912E+0001  0.205E+0003
  0.938E+0001  0.105E+0003
  0.962E+0001  -.287E+0001
  0.988E+0001  -.135E+0003
  0.101E+0002  0.446E+0003
